mark-file	packet	quote	bin	matched-packets
invoke-1786551453644-4380-9207c9ce.txt	b98A04-001.txt	The PID proof uses Mathlib's `IsLocalization.map_comap`. The finite-module conclusion uses `IsIntegral.of_finite` and `isIntegrallyClosed_iff`.	A	b98A04-001.txt
invoke-1786551453644-4380-9207c9ce.txt	b98A04-001.txt	`apm_m99J06_H01Model.realizes` treats weak derivatives as literal functions, while `inner_eq` only observes them through integrals. Take `u = 0`, with derivatives: `du₁ := Set.indicator {(1/2)} (fun _ ↦ 1)` … Both satisfy `isH01Pair`	D	
invoke-1786551453644-4380-9207c9ce.txt	b98A04-001.txt	Added three bridge declarations verbatim: `theorem apm_t98A05_bridge_extDerivs … : (∀ x v, extDeriv alpha x v = 2 * (v 0 0 * v 1 1 - v 0 1 * v 1 0)) ∧ …`	A	b98A04-001.txt
invoke-1786551453644-4380-9207c9ce.txt	b98A04-001.txt	Mathlib declaration identified as the underlying engine: `intervalIntegral.continuousWithinAt_of_dominated_interval`	A	b98A04-001.txt
invoke-1786551040621-4345-177e4cb3.txt	b97J01-001.txt	Keeps 'only the small object-level unit and associativity equivalences needed by DarkTower,' explicitly comparing to sinhp/Poly	A	b97J01-001.txt
invoke-1786551456548-4386-4035272b.txt	b98A04-007.txt	Rewriting ζ̄=1/ζ on the unit circle plus Cauchy's formula fits the current contour integral API	A	b98A04-007.txt
invoke-1786551235606-4364-eaf384e5.txt	b95J01-008.txt	the repair replaced two helper lemmas with a brand-new theorem … The old file had no main theorem at all, yet was marked approved	A	b95J01-008.txt
invoke-1786551235606-4364-eaf384e5.txt	b95J01-008.txt	it was splicing `#print axioms` between a theorem and its proof (`_declaration_delimiter` returns the end of the statement — right for hashing, wrong here), and Lean wraps the axiom list across lines so `Classical.choice` arrived newline-prefixed and failed the whitelist	A	b95J01-008.txt
invoke-1786550891618-4339-181b6e6c.txt	b98A03-003.txt	Since H₁(X) is finite, any map to the torus (with H₁≅Z²) kills π₁, hence is null-homotopic.	A	b98A03-003.txt
invoke-1786550891618-4339-181b6e6c.txt	b98A03-003.txt	All maps S¹×S¹→S³ are null-homotopic because π₂(S³)=0	D	
invoke-1786550891618-4339-181b6e6c.txt	b98A03-003.txt	Rademacher/Walsh-like functions are orthogonal in L^∞, so integrals against bounded f vanish.	A	b98A03-003.txt
invoke-1786551453176-4379-9abeb29c.txt	b00J02-011.txt	Before this was scoped, `pass1_gate` wrote the hash it observed into the manifest, so detecting a substitution OVERWROTE the reference the substitution had violated: re-checking then reported clean, and the detector erased its own evidence (seen on a97J07).	A	b00J02-011.txt
invoke-1786551453176-4379-9abeb29c.txt	b00J02-011.txt	Cheaper than the axiom probe and catches what the probe cannot: `opaque` adds no axioms, so a statement resting on uninterpreted constants passes both the sorry count and the sweep while not being about its own subject.	A	b00J02-011.txt
invoke-1786552027017-4415-48fc4b0c.txt	b01J02-002.txt	split formalization from proving. Phase B becomes a short *statement session* — formalize the statement faithfully, end at `:= by sorry`, commit, stop. The gate hashes and freezes it	D	
invoke-1786552027017-4415-48fc4b0c.txt	b01J02-002.txt	a domain-encoding obstacle gets a sorry at the encoding, not a scalar surrogate; simplifying away a defined object makes your result a partial, never a close.	D	
invoke-1786552027017-4415-48fc4b0c.txt	b01J02-002.txt	an advisory vacuity lint — flag statements whose conclusion never mentions the problem's primary object, which would have caught a98A01's surrogate mechanically.	D	
invoke-1786552027017-4415-48fc4b0c.txt	b01J02-002.txt	yesterday's a98A01 review cost an investigation *after* 25 rounds of wasted proving — under v0.2 it's caught in the two minutes before any proving starts	D	
invoke-1786552027017-4415-48fc4b0c.txt	b01J02-002.txt	no more zero-hop closes (the starter never proves) ... today showed zero-hop closes are precisely the population where counterfeits hide, so pricing them out is arguably a feature.	D	
invoke-1786551042074-4348-57efae9e.txt	b97J01-004.txt	`sphereIdentityLefschetz := 1 - 0 + 1` is gone, replaced by a Lefschetz number defined through rational homology isomorphisms and the alternating trace, so the refutation of part (b) now depends on the homology the file proves rather than sitting beside it	A	b97J01-004.txt
invoke-1786551777166-4396-da7447ee.txt	b96J01-003.txt	Until 2026-07-30 there was no lean_lib for it, so the files were NOT on the module path: `import ConstructionTargets.X` failed with 'unknown module prefix' and no oleans were ever produced. The proved lemmas were therefore unreachable from the problems they were built for.	A	b96J01-003.txt
